gene,species
TOP1,gamo_cpg
PLCG1,gamo_cpg
ZHX3,gamo_cpg
Lpin3,gamo_cpg
EMILIN3,gamo_cpg
RPN2,gamo_cpg
Glucagon,gamo_cpg
SRC,gamo_cpg
PIGT,gamo_cpg
RBPJL,gamo_cpg
MATN4,gamo_cpg
STK4,gamo_cpg
Tomm34,gamo_cpg
epabp,gamo_cpg
HNF4A,gamo_cpg
Gdap1l1,gamo_cpg
TRHR,gamo_cpg
SLC13A3,gamo_cpg
EYA2,gamo_cpg
ZMYND8,gamo_cpg
TGM6,gamo_cpg
Cdh22,gamo_cpg
CD40,gamo_cpg
NCOA5,gamo_cpg
Slc12a5,gamo_cpg
Mmp9,gamo_cpg
Znf335,gamo_cpg
PCIF1,gamo_cpg
PLTP,gamo_cpg
SNX21,gamo_cpg
rgs9bp,gamo_cpg
WFDC3,gamo_cpg
Ctnnbl1,gamo_cpg
TTI1,gamo_cpg
Rprd1b,gamo_cpg
KIAA1755,gamo_cpg
TENP,gamo_cpg
Bpifb4,gamo_cpg
MAPRE1,gamo_cpg
DNMT3B,gamo_cpg
COMMD7,gamo_cpg
NOL4L,gamo_cpg
ASXL1,gamo_cpg
TM9SF4,gamo_cpg
HCK,gamo_cpg
CCM2L,gamo_cpg
Xkr7,gamo_cpg
MYLK2,gamo_cpg
tpx2-b,gamo_cpg
BPI,gamo_cpg
SLC52A3,gamo_cpg
ANGPT4,gamo_cpg
PSMF1,gamo_cpg
SNPH,gamo_cpg
FKBP1A,gamo_cpg
SIRPA,gamo_cpg
Helz2,gamo_cpg
Lime1,gamo_cpg
ZBTB46,gamo_cpg
ZNF512B,gamo_cpg
SAMD10,gamo_cpg
Prpf6,gamo_cpg
sox18-a,gamo_cpg
TCEA2,gamo_cpg
Myt1,gamo_cpg
Pxdn,gamo_cpg
Srms,gamo_cpg
Kcnq2,gamo_cpg
COL20A1,gamo_cpg
DEPTOR,gamo_cpg
Arfgap1,gamo_cpg
Slc17a9,gamo_cpg
DIDO1,gamo_cpg
TCFL5,gamo_cpg
Ogfr,gamo_cpg
RBBP8NL,gamo_cpg
Cables2,gamo_cpg
LAMA5,gamo_cpg
Ss18l1,gamo_cpg
CDH4,gamo_cpg
CDH26,gamo_cpg
SYCP2,gamo_cpg
PHACTR3,gamo_cpg
EDN3,gamo_cpg
ZNF831,gamo_cpg
pmepa1,gamo_cpg
Bmp7,gamo_cpg
GCNT7,gamo_cpg
RTFDC1,gamo_cpg
Dok5,gamo_cpg
CYP24A1,gamo_cpg
Bcas1,gamo_cpg
ZNF217,gamo_cpg
TSHZ2,gamo_cpg
ZFP64,gamo_cpg
SALL4,gamo_cpg
ATP9A,gamo_cpg
NFATC2,gamo_cpg
MOCS3,gamo_cpg
RIPOR3,gamo_cpg
PTPN1,gamo_cpg
Sodium/hydrogen,gamo_cpg
B4GALT5,gamo_cpg
SBSPON,gamo_cpg
CSE1L,gamo_cpg
ARFGEF2,gamo_cpg
PREX1,gamo_cpg
tspan36,gamo_cpg
Myo5b,gamo_cpg
ACAA2,gamo_cpg
DYM,gamo_cpg
HDHD2,gamo_cpg
LOXHD1,gamo_cpg
Rnf165,gamo_cpg
EPG5,gamo_cpg
Espn,gamo_cpg
Tmem88,gamo_cpg
MIB2,gamo_cpg
Cfap74,gamo_cpg
SKI,gamo_cpg
PLCH2,gamo_cpg
KBP,gamo_cpg
PANK4,gamo_cpg
ttc34,gamo_cpg
PRDM16,gamo_cpg
Megf6,gamo_cpg
TPRG1L,gamo_cpg
Wrap73,gamo_cpg
Tp73,gamo_cpg
CEP104,gamo_cpg
Ajap1,gamo_cpg
nphp4,gamo_cpg
KCNAB2,gamo_cpg
Chd5,gamo_cpg
rnf207b,gamo_cpg
ACOT7,gamo_cpg
PLEKHG5,gamo_cpg
NOL9,gamo_cpg
TAS1R1,gamo_cpg
DNAJC11,gamo_cpg
VPS13D,gamo_cpg
TNFRSF1B,gamo_cpg
MTHFR,gamo_cpg
ANGPTL7,gamo_cpg
SRM,gamo_cpg
PPIH,gamo_cpg
ZBTB40,gamo_cpg
EPHA8,gamo_cpg
C1qa,gamo_cpg
EPHB2,gamo_cpg
CDA,gamo_cpg
MUL1,gamo_cpg
VWA5B1,gamo_cpg
DDX19A,gamo_cpg
UBXN10,gamo_cpg
Rnf186,gamo_cpg
HTR6,gamo_cpg
PQLC2,gamo_cpg
EMC1,gamo_cpg
UBR4,gamo_cpg
Iffo2,gamo_cpg
Ccdc30,gamo_cpg
ZMYND12,gamo_cpg
SLC2A1,gamo_cpg
PHC2,gamo_cpg
USP48,gamo_cpg
ALPL,gamo_cpg
EIF4G3,gamo_cpg
HP1BP3,gamo_cpg
Kif17,gamo_cpg
RSC1A1,gamo_cpg
SPEN,gamo_cpg
Zbtb17,gamo_cpg
EPHA2,gamo_cpg
Atp13a2,gamo_cpg
SDHB,gamo_cpg
TAS1R3,gamo_cpg
RERE,gamo_cpg
CA6,gamo_cpg
SLC2A5,gamo_cpg
Gpr157,gamo_cpg
SLC25A33,gamo_cpg
UBE4B,gamo_cpg
Kif1c,gamo_cpg
KIF1B,gamo_cpg
PEX14,gamo_cpg
Casz1,gamo_cpg
OGDH,gamo_cpg
Ckap2l,gamo_cpg
SLC20A1,gamo_cpg
Pold2,gamo_cpg
Aebp1,gamo_cpg
DBNL,gamo_cpg
retsat,gamo_cpg
VAMP5,gamo_cpg
SFTPB,gamo_cpg
GMCL1,gamo_cpg
ANXA4,gamo_cpg
AAK1,gamo_cpg
ANTXR1,gamo_cpg
Arhgap25,gamo_cpg
PCNA,gamo_cpg
SLC23A2,gamo_cpg
Prom2,gamo_cpg
STAMBP,gamo_cpg
KCTD9,gamo_cpg
NEFL,gamo_cpg
NEFM,gamo_cpg
CHMP7,gamo_cpg
RHOBTB2,gamo_cpg
Bin3,gamo_cpg
SORBS3,gamo_cpg
PPP3CC,gamo_cpg
SFTPC,gamo_cpg
LZTS1,gamo_cpg
Atp6v1b2,gamo_cpg
UNC5D,gamo_cpg
ERLIN2,gamo_cpg
ADGRA2,gamo_cpg
BRF2,gamo_cpg
RAB11FIP1,gamo_cpg
ADRB4C,gamo_cpg
ASH2L,gamo_cpg
STAR,gamo_cpg
NSD3,gamo_cpg
FGFR1,gamo_cpg
TACC1,gamo_cpg
Plekha2,gamo_cpg
ADAM9,gamo_cpg
IDO2,gamo_cpg
Tcim,gamo_cpg
ZMAT4,gamo_cpg
SFRP1,gamo_cpg
GPAT4,gamo_cpg
ANK1,gamo_cpg
IKBKB,gamo_cpg
YTHDF2,gamo_cpg
TAF12,gamo_cpg
EPB41,gamo_cpg
PTPRU,gamo_cpg
MATN1,gamo_cpg
LAPTM5,gamo_cpg
PUM1,gamo_cpg
Zcchc17,gamo_cpg
Fabp3,gamo_cpg
SERINC2,gamo_cpg
HIVEP3,gamo_cpg
foxo3,gamo_cpg
SCMH1,gamo_cpg
CTPS1,gamo_cpg
XKR8,gamo_cpg
LUZP1,gamo_cpg
Fhl3,gamo_cpg
MTF1,gamo_cpg
EPHA10,gamo_cpg
C1orf109,gamo_cpg
GNL2,gamo_cpg
ZC3H12A,gamo_cpg
GRIK3,gamo_cpg
CSF3R,gamo_cpg
thrap3,gamo_cpg
Map7d1,gamo_cpg
BXL5,gamo_cpg
AGO3,gamo_cpg
Ago1,gamo_cpg
AGO4,gamo_cpg
CLSPN,gamo_cpg
UPF0500,gamo_cpg
tfap2e,gamo_cpg
ZMYM4,gamo_cpg
DLGAP3,gamo_cpg
gja4,gamo_cpg
KCNQ4,gamo_cpg
Txlna,gamo_cpg
Kpna6,gamo_cpg
BSDC1,gamo_cpg
ZBTB8B,gamo_cpg
SYNC,gamo_cpg
Kiaa1522,gamo_cpg
YARS,gamo_cpg
Tmem54,gamo_cpg
MACF1,gamo_cpg
NT5C1A,gamo_cpg
FAM49A,gamo_cpg
TRIT1,gamo_cpg
mfsd2a,gamo_cpg
LYPLA2,gamo_cpg
FUCA1,gamo_cpg
Myom3,gamo_cpg
IL22RA1,gamo_cpg
Grhl3,gamo_cpg
NIPAL3,gamo_cpg
RUNX3,gamo_cpg
syf2,gamo_cpg
RSRP1,gamo_cpg
MACO1,gamo_cpg
LDLRAP1,gamo_cpg
MAN1C1,gamo_cpg
STMN1,gamo_cpg
ext1c,gamo_cpg
TRIM63,gamo_cpg
CNKSR1,gamo_cpg
CEP85,gamo_cpg
SH3BGRL3,gamo_cpg
Ubxn11,gamo_cpg
LIN28A,gamo_cpg
DHDDS,gamo_cpg
RPS6KA,gamo_cpg
gpn2,gamo_cpg
Gpatch3,gamo_cpg
NUDC,gamo_cpg
Kdf1,gamo_cpg
TENT5A,gamo_cpg
WDTC1,gamo_cpg
TMEM222,gamo_cpg
AHDC1,gamo_cpg
cfaD,gamo_cpg
FAM76A,gamo_cpg
RCC1,gamo_cpg
Cxcr5,gamo_cpg
BCL9L,gamo_cpg
SLC37A4,gamo_cpg
HYOU1,gamo_cpg
Phldb1,gamo_cpg
IFT46,gamo_cpg
TMEM25,gamo_cpg
TTC36,gamo_cpg
USP28,gamo_cpg
HTR3A,gamo_cpg
ZBTB16,gamo_cpg
REXO2,gamo_cpg
CADM1,gamo_cpg
ZNF259,gamo_cpg
APOA4,gamo_cpg
Sik3,gamo_cpg
Sidt2,gamo_cpg
PCSK7,gamo_cpg
Rnf214,gamo_cpg
CEP164,gamo_cpg
DSCAML1,gamo_cpg
fxyd2,gamo_cpg
TMPRSS13,gamo_cpg
SCN4B,gamo_cpg
Mpzl3,gamo_cpg
CD3E,gamo_cpg
Tmprss5,gamo_cpg
ANKK1,gamo_cpg
NCAM1,gamo_cpg
Bco2,gamo_cpg
DLAT,gamo_cpg
DIXDC1,gamo_cpg
C11orf52,gamo_cpg
FDXACB1,gamo_cpg
ALG9,gamo_cpg
SIK2,gamo_cpg
Layn,gamo_cpg
Maternal,gamo_cpg
Nfkbiz,gamo_cpg
POU2AF1,gamo_cpg
zgc158412,gamo_cpg
HINFP,gamo_cpg
ABCG4,gamo_cpg
Nlrx1,gamo_cpg
RNF26,gamo_cpg
C1qtnf5,gamo_cpg
USP2,gamo_cpg
NECTIN1,gamo_cpg
oaf,gamo_cpg
ARHGEF12,gamo_cpg
Grik4,gamo_cpg
TBCEL,gamo_cpg
TECTA,gamo_cpg
SORL1,gamo_cpg
UBASH3B,gamo_cpg
CRTAM,gamo_cpg
JHY,gamo_cpg
Hspa8,gamo_cpg
CLMP,gamo_cpg
ATP12A,gamo_cpg
ACAD8,gamo_cpg
NCAPD3,gamo_cpg
IGSF9B,gamo_cpg
OPCML,gamo_cpg
Snx19,gamo_cpg
Adamts15,gamo_cpg
ADAMTS8,gamo_cpg
ZBTB44,gamo_cpg
Usp42,gamo_cpg
PKNOX2,gamo_cpg
Slc37a2,gamo_cpg
ROBO4,gamo_cpg
CDON,gamo_cpg
STT3A,gamo_cpg
TIRAP,gamo_cpg
KIRREL3,gamo_cpg
ETS1,gamo_cpg
ARHGAP32,gamo_cpg
Aplp2,gamo_cpg
PRDM10,gamo_cpg
Nfrkb,gamo_cpg
Cct3,gamo_cpg
DCST2,gamo_cpg
SHC1,gamo_cpg
KCNN3,gamo_cpg
Adar,gamo_cpg
CHRNB2,gamo_cpg
Ubap2l,gamo_cpg
TPM3,gamo_cpg
Smg5,gamo_cpg
LMNA,gamo_cpg
UBQLN4,gamo_cpg
Naxe,gamo_cpg
IQGAP3,gamo_cpg
mef2d,gamo_cpg
rhbg-b,gamo_cpg
BCAN,gamo_cpg
Tanabin,gamo_cpg
ISG20L2,gamo_cpg
SH2D2A,gamo_cpg
PRCC,gamo_cpg
Insrr,gamo_cpg
PEAR1,gamo_cpg
ADAM15,gamo_cpg
Slc50a1,gamo_cpg
Trim46,gamo_cpg
THBS3,gamo_cpg
MTX1,gamo_cpg
GBA,gamo_cpg
FAM189B,gamo_cpg
SCAMP3,gamo_cpg
RUSC1,gamo_cpg
ASH1L,gamo_cpg
GON4L,gamo_cpg
KHDC4,gamo_cpg
glmp-b,gamo_cpg
CADM3,gamo_cpg
Tagln2,gamo_cpg
SLC41A1,gamo_cpg
PM20D1,gamo_cpg
SLC26A9,gamo_cpg
RAB7B,gamo_cpg
AVPR1B,gamo_cpg
Srgap2,gamo_cpg
IKBKE,gamo_cpg
RASSF5,gamo_cpg
EIF2D,gamo_cpg
IL10,gamo_cpg
Il20,gamo_cpg
Pigr,gamo_cpg
PFKFB2,gamo_cpg
CR1,gamo_cpg
PLXNA2,gamo_cpg
LAMB3,gamo_cpg
TRAF3IP3,gamo_cpg
Irf6,gamo_cpg
GUCA1B,gamo_cpg
Rap1a,gamo_cpg
KCND3,gamo_cpg
WNT2B,gamo_cpg
CAPZA1,gamo_cpg
MOV10,gamo_cpg
PPM1J,gamo_cpg
FAM19A2,gamo_cpg
LRIG2,gamo_cpg
DSTYK,gamo_cpg
NUAK2,gamo_cpg
ELK4,gamo_cpg
SLC45A3,gamo_cpg
CNTN2,gamo_cpg
NFYA,gamo_cpg
CD300LB,gamo_cpg
ITPR3,gamo_cpg
IP6K3,gamo_cpg
LEMD2,gamo_cpg
MLN,gamo_cpg
GRM4,gamo_cpg
RCJMB04_11e11,gamo_cpg
UHRF1BP1,gamo_cpg
Mical1,gamo_cpg
SMPD2,gamo_cpg
TEAD3,gamo_cpg
TULP1,gamo_cpg
FKBP5,gamo_cpg
SRPK1,gamo_cpg
BRPF3,gamo_cpg
RSBN1,gamo_cpg
PTPN22,gamo_cpg
AP4B1,gamo_cpg
SYT6,gamo_cpg
TRIM33,gamo_cpg
AMPD1,gamo_cpg
NR1H4,gamo_cpg
FGD2,gamo_cpg
PNPLA1,gamo_cpg
Embryonic,gamo_cpg
KCNC4,gamo_cpg
STRIP1,gamo_cpg
Ahcyl1,gamo_cpg
AMPD2,gamo_cpg
ATXN7L2,gamo_cpg
CACNA1S,gamo_cpg
KIF21B,gamo_cpg
Elf3,gamo_cpg
ARL8A,gamo_cpg
PTPN7,gamo_cpg
Ptprv,gamo_cpg
Lgr6,gamo_cpg
KLHL12,gamo_cpg
KDM5B,gamo_cpg
Ipo9,gamo_cpg
LZTR1,gamo_cpg
Ppp1r12b,gamo_cpg
Igfn1,gamo_cpg
MYOG,gamo_cpg
DENND2D,gamo_cpg
Dram2,gamo_cpg
Adipor1,gamo_cpg
SARS,gamo_cpg
CELSR2,gamo_cpg
ZNF420,gamo_cpg
MRC2,gamo_cpg
Smarcd2,gamo_cpg
FTSJ3,gamo_cpg
PLEKHM1,gamo_cpg
Arhgap27,gamo_cpg
fam171a2,gamo_cpg
Gpatch8,gamo_cpg
Psmd11,gamo_cpg
MAP3K14,gamo_cpg
FMNL2,gamo_cpg
MYLK,gamo_cpg
Plcd3,gamo_cpg
dcakd,gamo_cpg
Gfap,gamo_cpg
Ccdc103,gamo_cpg
Adam11,gamo_cpg
DBF4B,gamo_cpg
NSF,gamo_cpg
WNT3,gamo_cpg
SDR39U1,gamo_cpg
ACR,gamo_cpg
Etv4,gamo_cpg
NBR1,gamo_cpg
RND2,gamo_cpg
VAT1,gamo_cpg
Dtx3l,gamo_cpg
BECN1,gamo_cpg
Wnk4,gamo_cpg
EZH1,gamo_cpg
MYO10,gamo_cpg
tubg1,gamo_cpg
RETREG3,gamo_cpg
ATP6V0A1,gamo_cpg
STAT3,gamo_cpg
STAT5B,gamo_cpg
PLCL2,gamo_cpg
Kcnh4,gamo_cpg
Znf385c,gamo_cpg
ACLY,gamo_cpg
NT5C3B,gamo_cpg
FKBP10,gamo_cpg
P3H4,gamo_cpg
TRAK1,gamo_cpg
KRT14,gamo_cpg
KRT19,gamo_cpg
Smarce1,gamo_cpg
Tns4,gamo_cpg
CDC6,gamo_cpg
NR1D1,gamo_cpg
MED24,gamo_cpg
LRRC3B,gamo_cpg
IKZF3,gamo_cpg
TANC2,gamo_cpg
CYB561,gamo_cpg
KCNH6,gamo_cpg
Limd2,gamo_cpg
RNF113A,gamo_cpg
STRADA,gamo_cpg
CDC27,gamo_cpg
KANSL1,gamo_cpg
MAPT,gamo_cpg
DAPK3,gamo_cpg
EEF2,gamo_cpg
PIAS4,gamo_cpg
ZBTB7A,gamo_cpg
SIRT6,gamo_cpg
ANKRD24,gamo_cpg
Fbn2,gamo_cpg
TIMM44,gamo_cpg
Hnrnpm,gamo_cpg
FSD1,gamo_cpg
CHAF1A,gamo_cpg
UBXN6,gamo_cpg
HDGFL2,gamo_cpg
DPP9,gamo_cpg
UHRF1,gamo_cpg
PTPRS,gamo_cpg
dus3l,gamo_cpg
Gdf15,gamo_cpg
ELL,gamo_cpg
TMEM59L,gamo_cpg
KLHL26,gamo_cpg
CRTC1,gamo_cpg
UPF1,gamo_cpg
ctdspl2-b,gamo_cpg
gamt-a,gamo_cpg
C19orf24,gamo_cpg
midn,gamo_cpg
STK11,gamo_cpg
SBNO2,gamo_cpg
ARHGAP45,gamo_cpg
Cnn2,gamo_cpg
ABCA1,gamo_cpg
TMEM259,gamo_cpg
Grin3b,gamo_cpg
WDR18,gamo_cpg
ARID3A,gamo_cpg
R3HDM4,gamo_cpg
med16,gamo_cpg
CFD,gamo_cpg
MISP,gamo_cpg
PALM,gamo_cpg
Polrmt,gamo_cpg
TPGS1,gamo_cpg
TLE2,gamo_cpg
SAFB,gamo_cpg
MED26,gamo_cpg
CPAMD8,gamo_cpg
MYO9B,gamo_cpg
USE1,gamo_cpg
INSR,gamo_cpg
ARHGEF18,gamo_cpg
ENC1,gamo_cpg
ARRDC2,gamo_cpg
mast3,gamo_cpg
Pik3r2,gamo_cpg
ifi30,gamo_cpg
RFX2,gamo_cpg
ACSBG2,gamo_cpg
ADAMTS10,gamo_cpg
MUC16,gamo_cpg
LINGO3,gamo_cpg
Prag1,gamo_cpg
SF3A2,gamo_cpg
DOT1L,gamo_cpg
Ap3d1,gamo_cpg
MOB3A,gamo_cpg
Mknk2,gamo_cpg
Csnk1g2,gamo_cpg
Atp8b3,gamo_cpg
ONECUT3,gamo_cpg
Tcf3,gamo_cpg
UNC13A,gamo_cpg
NFIC,gamo_cpg
ALP1,gamo_cpg
Hmg20b,gamo_cpg
TBXA2R,gamo_cpg
CACTIN,gamo_cpg
Pip5k1c,gamo_cpg
SLC1A7,gamo_cpg
PRAM1,gamo_cpg
Pole4,gamo_cpg
Kank3,gamo_cpg
ANGPTL4,gamo_cpg
Ras-related,gamo_cpg
CERS4,gamo_cpg
KLHL23,gamo_cpg
Tmprss9,gamo_cpg
SYCP1,gamo_cpg
CFAP61,gamo_cpg
RALGAPA2,gamo_cpg
KIZ,gamo_cpg
XRN2,gamo_cpg
Ctnna2,gamo_cpg
NPHP1,gamo_cpg
ASB3,gamo_cpg
PSME4,gamo_cpg
SPTBN1,gamo_cpg
EML6,gamo_cpg
MTIF2,gamo_cpg
CCDC88A,gamo_cpg
Cfap36,gamo_cpg
PNPT1,gamo_cpg
Ccdc85a,gamo_cpg
VRK2,gamo_cpg
FANCL,gamo_cpg
BCL11A,gamo_cpg
REL,gamo_cpg
FAT4,gamo_cpg
LRRN4,gamo_cpg
BMP2,gamo_cpg
HAO1,gamo_cpg
PLCB1,gamo_cpg
PLCB4,gamo_cpg
LAMP5,gamo_cpg
Pak5,gamo_cpg
BDH1,gamo_cpg
JAG1,gamo_cpg
SPTLC3,gamo_cpg
TASP1,gamo_cpg
SRF,gamo_cpg
PTK7,gamo_cpg
KLC4,gamo_cpg
Pacs1,gamo_cpg
PPP2R5D,gamo_cpg
VSX1,gamo_cpg
ACSS1,gamo_cpg
Togaram2,gamo_cpg
DHX57,gamo_cpg
Ninl,gamo_cpg
MAL,gamo_cpg
MCM8,gamo_cpg
MDH1,gamo_cpg
VPS54,gamo_cpg
SLC1A4,gamo_cpg
Cnrip1,gamo_cpg
Pcsk2,gamo_cpg
SNRPB2,gamo_cpg
CST7,gamo_cpg
DSTN,gamo_cpg
Rrbp1,gamo_cpg
SEC23A,gamo_cpg
GTF2A1L,gamo_cpg
MSH6,gamo_cpg
TRMT61B,gamo_cpg
Pcare,gamo_cpg
Lbh,gamo_cpg
Capn13,gamo_cpg
GALNT14,gamo_cpg
Coq8a,gamo_cpg
PARP1,gamo_cpg
LIN9,gamo_cpg
ACBD3,gamo_cpg
NVL,gamo_cpg
FBXO28,gamo_cpg
TP53BP2,gamo_cpg
CAPN2,gamo_cpg
CAPN8,gamo_cpg
brox,gamo_cpg
IARS2,gamo_cpg
USH2A,gamo_cpg
PTPN14,gamo_cpg
SMYD2,gamo_cpg
RPS6KC1,gamo_cpg
VASH2,gamo_cpg
FLVCR1,gamo_cpg
NENF,gamo_cpg
INTS7,gamo_cpg
KCNH1,gamo_cpg
DIEXF,gamo_cpg
UBR2,gamo_cpg
TBCC,gamo_cpg
DYNC2LI1,gamo_cpg
Abcg8,gamo_cpg
Slc3a1,gamo_cpg
PREPL,gamo_cpg
Srbd1,gamo_cpg
PLB1,gamo_cpg
RBKS,gamo_cpg
MRPL33,gamo_cpg
Supt7l,gamo_cpg
Mocs1,gamo_cpg
DAAM2,gamo_cpg
Dnah8,gamo_cpg
MDGA1,gamo_cpg
AARS2,gamo_cpg
Nfkbie,gamo_cpg
SPTBN5,gamo_cpg
MRPL14,gamo_cpg
PLD5,gamo_cpg
AHCTF1,gamo_cpg
SPAST,gamo_cpg
PRKD3,gamo_cpg
HEATR5B,gamo_cpg
EIF2AK2,gamo_cpg
Cyp1b1,gamo_cpg
BIRC6,gamo_cpg
LTBP1,gamo_cpg
ABCC10,gamo_cpg
DLK2,gamo_cpg
POLH,gamo_cpg
AGPAT4,gamo_cpg
Rnaset2b,gamo_cpg
Afdn,gamo_cpg
KIF25,gamo_cpg
FRMD6,gamo_cpg
THBS2,gamo_cpg
DLL1,gamo_cpg
TTC13,gamo_cpg
COG2,gamo_cpg
PGBD5,gamo_cpg
URB2,gamo_cpg
TAF5L,gamo_cpg
SPRTN,gamo_cpg
PCNX2,gamo_cpg
SLC35F3,gamo_cpg
Rbm34,gamo_cpg
ARID4B,gamo_cpg
TBCE,gamo_cpg
LYST,gamo_cpg
MTR,gamo_cpg
CHRM3,gamo_cpg
PPIL4,gamo_cpg
Tab2,gamo_cpg
ADGB,gamo_cpg
UTRN,gamo_cpg
BCLAF1,gamo_cpg
MAP3K5,gamo_cpg
PERP,gamo_cpg
Nhsl1,gamo_cpg
HIVEP2,gamo_cpg
PHACTR2,gamo_cpg
TAGAP,gamo_cpg
EZR,gamo_cpg
NOX3,gamo_cpg
TIAM2,gamo_cpg
SCAF8,gamo_cpg
SYNE1,gamo_cpg
ZBTB2,gamo_cpg
MTHFD1L,gamo_cpg
PLEKHG1,gamo_cpg
IYD,gamo_cpg
LRP11,gamo_cpg
LATS1,gamo_cpg
KATNA1,gamo_cpg
Pnldc1,gamo_cpg
SLC22A2,gamo_cpg
AHI1,gamo_cpg
EYA4,gamo_cpg
SLC18B1,gamo_cpg
VNN1,gamo_cpg
MOXD1,gamo_cpg
CTGF,gamo_cpg
ENPP3,gamo_cpg
L3MBTL3,gamo_cpg
Leg1,gamo_cpg
RNF146,gamo_cpg
NCOA7,gamo_cpg
MAN1A1,gamo_cpg
FAM184A,gamo_cpg
MCM9,gamo_cpg
ASF1,gamo_cpg
GOPC,gamo_cpg
ROS1,gamo_cpg
COL10A1,gamo_cpg
HS3ST5,gamo_cpg
LAMA4,gamo_cpg
FYN,gamo_cpg
Gpr6,gamo_cpg
ZBTB24,gamo_cpg
Cd164,gamo_cpg
SESN1,gamo_cpg
SCML4,gamo_cpg
ATG5,gamo_cpg
USP45,gamo_cpg
MMS22L,gamo_cpg
MDN1,gamo_cpg
Pm20d2,gamo_cpg
BORCS6,gamo_cpg
Cfap206,gamo_cpg
ZNF292,gamo_cpg
LRRC37A3,gamo_cpg
NT5E,gamo_cpg
DOP1A,gamo_cpg
IRAK1BP1,gamo_cpg
MYO6,gamo_cpg
SENP6,gamo_cpg
CD109,gamo_cpg
BAG2,gamo_cpg
DST,gamo_cpg
GFRAL,gamo_cpg
tdrp,gamo_cpg
TMEM18,gamo_cpg
MYT1L,gamo_cpg
Trappc12,gamo_cpg
Rps7,gamo_cpg
ITGB1BP1,gamo_cpg
CPSF3,gamo_cpg
ADAM17,gamo_cpg
ywhaq,gamo_cpg
TAF1B,gamo_cpg
RRM2,gamo_cpg
Atp6v1c2,gamo_cpg
PDIA6,gamo_cpg
ROCK2,gamo_cpg
Lpin1,gamo_cpg
TRIB2,gamo_cpg
NBAS,gamo_cpg
ZP2,gamo_cpg
Wdr35,gamo_cpg
MATN3,gamo_cpg
PUM2,gamo_cpg
UBXN2A,gamo_cpg
ITSN2,gamo_cpg
EVA1A,gamo_cpg
ADGRF5,gamo_cpg
ENPP4,gamo_cpg
Runx2,gamo_cpg
Opn5,gamo_cpg
RHAG,gamo_cpg
TFAP2D,gamo_cpg
TRAM2,gamo_cpg
GAL5,gamo_cpg
CTSB,gamo_cpg
Blk,gamo_cpg
MTMR9,gamo_cpg
PINX1,gamo_cpg
KIF13B,gamo_cpg
INTS9,gamo_cpg
MINDY1,gamo_cpg
ARNT,gamo_cpg
PRPF3,gamo_cpg
CA14,gamo_cpg
VPS45,gamo_cpg
OTUD7B,gamo_cpg
ITGA10,gamo_cpg
RNF115,gamo_cpg
TBRG4,gamo_cpg
RASSF6,gamo_cpg
CXCL8,gamo_cpg
MTHFD2L,gamo_cpg
Ereg,gamo_cpg
AREG,gamo_cpg
Uso1,gamo_cpg
G3BP2,gamo_cpg
ANKRD17,gamo_cpg
Cox18,gamo_cpg
DCK,gamo_cpg
GRSF1,gamo_cpg
RUFY3,gamo_cpg
Jchain,gamo_cpg
PPEF2,gamo_cpg
STBD1,gamo_cpg
SHROOM3,gamo_cpg
SOWAHB,gamo_cpg
11-Sep,gamo_cpg
CCNI,gamo_cpg
CNOT6L,gamo_cpg
Fras1,gamo_cpg
PPP2CA,gamo_cpg
Wrn,gamo_cpg
CDKL2,gamo_cpg
ALPK1,gamo_cpg
ANK2,gamo_cpg
CAMK2D,gamo_cpg
UGT8,gamo_cpg
PRSS12,gamo_cpg
METTL14,gamo_cpg
MYOZ2,gamo_cpg
EXOSC9,gamo_cpg
CCNA2,gamo_cpg
TRPC3,gamo_cpg
KIAA1109,gamo_cpg
INTU,gamo_cpg
SCLT1,gamo_cpg
ELF2,gamo_cpg
RAB33B,gamo_cpg
TBC1D9,gamo_cpg
RNF4,gamo_cpg
ABRAXAS1,gamo_cpg
Cds1,gamo_cpg
LRBA,gamo_cpg
NR3C2,gamo_cpg
ARHGAP10,gamo_cpg
AFF1,gamo_cpg
PTPN13,gamo_cpg
MAPK10,gamo_cpg
LIN54,gamo_cpg
THAP9,gamo_cpg
SEC31A,gamo_cpg
Noa1,gamo_cpg
HERC5,gamo_cpg
GPRIN3,gamo_cpg
MMRN1,gamo_cpg
Grid2,gamo_cpg
SMARCAD1,gamo_cpg
OPN4,gamo_cpg
BMPR1B,gamo_cpg
Alcohol,gamo_cpg
ADH1,gamo_cpg
DNAJB14,gamo_cpg
NFKB1,gamo_cpg
CYP2U1,gamo_cpg
EGF,gamo_cpg
Otof,gamo_cpg
SLC20A2,gamo_cpg
SH2D4A,gamo_cpg
UBA6,gamo_cpg
CENPC,gamo_cpg
REST,gamo_cpg
Thegl,gamo_cpg
HOPX,gamo_cpg
Eri1,gamo_cpg
Lrp4,gamo_cpg
FBXW7,gamo_cpg
TRIM2,gamo_cpg
pro,gamo_cpg
TLL1,gamo_cpg
PALLD,gamo_cpg
HPGD,gamo_cpg
AGA,gamo_cpg
IRF2,gamo_cpg
PDLIM3,gamo_cpg
FAT1,gamo_cpg
MTUS1,gamo_cpg
SLC7A2,gamo_cpg
AIRC,gamo_cpg
ZSCAN29,gamo_cpg
EXOC1L,gamo_cpg
