gene,species
SORD,gamo_cpg
ZNF609,gamo_cpg
CSNK1G1,gamo_cpg
SNX1,gamo_cpg
Rps17,gamo_cpg
CPEB1,gamo_cpg
AP3B2,gamo_cpg
NR2E3,gamo_cpg
Myo9a,gamo_cpg
PKM,gamo_cpg
PARP6,gamo_cpg
celf4,gamo_cpg
ARIH1,gamo_cpg
BBS4,gamo_cpg
Neogenin,gamo_cpg
HCN4,gamo_cpg
Nptn,gamo_cpg
ULK3,gamo_cpg
SCAMP2,gamo_cpg
Fam219b,gamo_cpg
Muc1,gamo_cpg
Commd4,gamo_cpg
MAN2C1,gamo_cpg
Ptpn9,gamo_cpg
SNUPN,gamo_cpg
CSPG4,gamo_cpg
HMG20A,gamo_cpg
PSTPIP1,gamo_cpg
SCAPER,gamo_cpg
ETFA,gamo_cpg
CHRNA3,gamo_cpg
Dnaja4,gamo_cpg
ACSBG1,gamo_cpg
CIB2,gamo_cpg
DAPK2,gamo_cpg
HERC1,gamo_cpg
USP3,gamo_cpg
TPM1,gamo_cpg
TLN2,gamo_cpg
VPS13C,gamo_cpg
Bo17,gamo_cpg
Trpm1,gamo_cpg
MTMR10,gamo_cpg
MCEE,gamo_cpg
THSD4,gamo_cpg
MYO1E,gamo_cpg
CCNB2,gamo_cpg
MINDY2,gamo_cpg
ADAM10,gamo_cpg
ALDH1A2,gamo_cpg
CGNL1,gamo_cpg
TCF12,gamo_cpg
FAM214A,gamo_cpg
ARPP19,gamo_cpg
MYO5A,gamo_cpg
TMOD3,gamo_cpg
LYSMD2,gamo_cpg
DMXL2,gamo_cpg
IQCH,gamo_cpg
Aagab,gamo_cpg
SMAD6,gamo_cpg
LCTL,gamo_cpg
RPL4,gamo_cpg
TIPIN,gamo_cpg
INTS14,gamo_cpg
HACD3,gamo_cpg
IGDCC4,gamo_cpg
IGDCC3,gamo_cpg
Pdcd7,gamo_cpg
ANKDD1A,gamo_cpg
PCSK6,gamo_cpg
SNRPA1,gamo_cpg
CHSY1,gamo_cpg
LRRK1,gamo_cpg
Aldh1a3,gamo_cpg
ASB7,gamo_cpg
LRRC28,gamo_cpg
SYNM,gamo_cpg
NR2F2,gamo_cpg
RGMA,gamo_cpg
Sv2b,gamo_cpg
Akap13,gamo_cpg
NTRK3,gamo_cpg
Mfge8,gamo_cpg
FANCI,gamo_cpg
polg,gamo_cpg
Kif7,gamo_cpg
PLIN1,gamo_cpg
ABHD17C,gamo_cpg
Cemip2,gamo_cpg
CEMIP,gamo_cpg
ADAMTSL3,gamo_cpg
HOMER2,gamo_cpg
WHAMM,gamo_cpg
Slc30a4,gamo_cpg
Cops2,gamo_cpg
SECISBP2L,gamo_cpg
SHC4,gamo_cpg
CEP152,gamo_cpg
FBN1,gamo_cpg
KIF23,gamo_cpg
UACA,gamo_cpg
ADAMTS7,gamo_cpg
SPG11,gamo_cpg
CASC4,gamo_cpg
FRMD5,gamo_cpg
BLM,gamo_cpg
RASGRF1,gamo_cpg
ANPEP,gamo_cpg
AP3S2,gamo_cpg
Sema4b,gamo_cpg
PRC1,gamo_cpg
Unc45a,gamo_cpg
Man2a2,gamo_cpg
FURIN,gamo_cpg
MFAP1,gamo_cpg
PDIA3,gamo_cpg
CKMT1,gamo_cpg
PPIP5K1,gamo_cpg
MAP1A,gamo_cpg
TP53BP1,gamo_cpg
AP1G1,gamo_cpg
ATXN1L,gamo_cpg
ZNF821,gamo_cpg
Dhodh,gamo_cpg
PMFBP1,gamo_cpg
ZFHX3,gamo_cpg
WWP2,gamo_cpg
NFAT5,gamo_cpg
TMED6,gamo_cpg
COG8,gamo_cpg
Vps4a,gamo_cpg
UTP4,gamo_cpg
HAS3,gamo_cpg
K-CAM,gamo_cpg
Cdh1,gamo_cpg
GAS8,gamo_cpg
DBNDD1,gamo_cpg
MC1R,gamo_cpg
Tcf25,gamo_cpg
Spire2,gamo_cpg
FANCA,gamo_cpg
Vps9d1,gamo_cpg
Znf276,gamo_cpg
